ts	phase	decision	why	evidence	result
2026-08-28T21:18:53Z	frame	counted ~80 shadow:true Stencil hosts, 0 shadow:false, 64 e2e specs	need size before a compiler rewrite	packages/components/src/components/**/*.tsx @Component count, packages/components-js/tests/e2e/specs/*.e2e.ts	scope quantified
2026-08-28T21:18:53Z	frame	target HTML is native a/button/input, not light-DOM p-button wrapping button	p-button button still exists if we only drop shadow	packages/components/src/components/button/button.tsx:185 packages/components-js/tests/e2e/specs/link.e2e.ts:16	open, HTML contract named
2026-08-28T21:18:53Z	frame	refused ripping Stencil or committing to Mitosis as step 1	compiler choice is a later one-way door; first prove native HTML+CSS on link	mitosis.builder.io overview, attachComponentCss uses host.shadowRoot	INCONCLUSIVE on compiler
2026-08-28T21:18:53Z	frame	forced ARIA today is aria-disabled on inner button plus JSON aria prop	native disabled/loading should use disabled or aria-busy, not a host bag	packages/components/src/utils/a11y/button/get-button-base-aria-attributes.ts packages/components/src/utils/a11y/a11y.ts	open
2026-08-28T21:20:00Z	how	JSS class names are unhashed (.root .label); isolation is only shadowRoot adopted sheets	light DOM without a new scoping scheme collides across variants and components	packages/components/src/utils/jss.ts attachComponentCss generateId rule.key	constraint
2026-08-28T21:20:00Z	how	slots ::slotted DSR and default-dom shadowRoot snapshots are hard breaks if shadow is dropped in place	cannot set shadow:false and keep current markup/tests	packages/components-js/tests/e2e/specs/default-dom.e2e.ts packages/components/scripts/generateDSRComponents.ts	constraint
2026-08-28T21:20:22Z	how	inner button is aria-disabled only, never HTML disabled; host is the FACE :disabled node	native-element destination must pick focusable-disabled vs real disabled	packages/components/src/components/button/button.tsx get-button-base-aria-attributes.ts	constraint
2026-08-28T21:20:22Z	how	aria JSON bag exists because host aria-* never enters shadow; IDREFs cannot cross the boundary	flattening to native a/button/input makes the bag unnecessary	packages/components/src/utils/a11y/a11y.ts storefront must-know accessibility dos-and-donts	constraint
2026-08-28T21:20:22Z	how	link is href XOR one slotted a; IDs like id=x are shadow-scoped only; 20 FACE hosts	first slice must decide slotted-anchor deletion and unique IDs in light DOM	throwIfInvalidLinkUsage.ts checkbox.tsx:205 element-internals.spec.ts	open
2026-08-28T21:21:09Z	how	wrappers are thin CE hosts; public contract is p-* tags, P* names, CustomEvent, slots, --p-* vars, load/CDN, componentsReady, FACE, prefix, .hydrated	Mitosis native output keeps framework props only if generation is replaced; vanilla load/CDN/DSR is a major	packages/components/scripts/wrapper-generator packages/components-js/projects/components-wrapper	constraint
2026-08-28T21:26:39Z	how	how synthesis confirmed two-layer host+shadow, three disabled meanings, unhashed .root, leaked .hydrated/DSR	grounding for arena	explainer bc-d1d89ba5-5e21-5fe2-bac3-09728ce669a7	VERIFIED
2026-08-28T21:42:43Z	arena	picked candidate 2 as base, grafted C3 appearance and p-link classes, C1 golden test later, C4 catalog rule and layer	judge scored C2 30 C3 29 C1 28 C4 24; C4 IR too heavy; C3 Angular mutates DOM	/tmp/arena-native-elements/JUDGE.md	picked
2026-08-28T21:54:30Z	implement	PButton returns bare button, no host, no wrapper	user restated contract as PButton -> <button> nothing wrapping it	packages/components-react/projects/react-wrapper/src/elements/PButton.tsx + PButton.spec.tsx innerHTML	VERIFIED
2026-08-28T21:54:30Z	implement	buttonAppearance + rewriteShadowButtonCss, shared appearance/css rewrite	same encoder as link; loading is data-p-loading plus native disabled	packages/components/src/elements/button 17 component + 5 react tests	VERIFIED
2026-08-28T22:51:24Z	implement	static getNativeButtonCss/getNativeLinkCss, one sheet all variants	shadow CSS is per-instance; light DOM needs data-p-* selectors	link-button-css.spec.ts token contract vs getComponentCss	VERIFIED
2026-08-28T22:51:24Z	implement	PLink returns bare a; PButton label span inside button	hide-label needs an inner label node; host still forbidden	PLink.spec.tsx PButton.spec.tsx innerHTML	VERIFIED
2026-08-29T09:18:28Z	implement	native-button/native-link VRT pages, side by side with Stencil	misread pause; fixtures ready, docker VRT not run here	packages/components-js/src/pages/native-button.html + elements.css	INCONCLUSIVE on pixels
2026-08-29T11:36:00Z	implement	native PIcon is bare img, mask via data-p-name, used inside button/link	CE inside native control still needs load(); img + one sheet is vanilla	PIcon.tsx icon-css.ts PButton/PLink	VERIFIED unit
2026-08-29T12:09:00Z	implement	Vue PButton/PLink/PIcon same native contract, not public export	was pausing between slices; keep going	vue-wrapper/src/elements 9 tests	VERIFIED
2026-08-29T12:20:00Z	implement	Angular button[pButton] a[pLink] img[pIcon], host is the tag	wrapping host would bring the CE back	angular-wrapper/src/elements	VERIFIED unit
2026-08-29T12:25:00Z	implement	loading spinner is span.p-button__spinner SVG, not p-spinner	CE spinner would need load(); CSS already reserved the class	link-button-css + PButton wrappers	VERIFIED unit
2026-08-29T12:55:00Z	implement	Chrome VRT native-button/native-link vs Stencil side by side	Playwright linux image, host node_modules, CDN chunks copied	native-*.png 4 chrome	VERIFIED chrome; spinner freeze-frame differs
2026-08-29T13:00:00Z	implement	native spinner freeze-frame matches p-spinner	drop static dashoffset and fill-mode; use --p-temporary-spinner-stroke-dasharray	link-button-css.ts native-button VRT	VERIFIED
2026-08-29T13:01:00Z	implement	unlayered color-scheme inherit on .p-button/.p-link/.p-icon	layered all:unset lost to unlayered button,a { color-scheme: light }	elements.css dark VRT	VERIFIED
2026-08-29T13:05:00Z	implement	Chrome+Safari VRT native-button/native-link light and dark	8/8 pass; spinner C and dark tokens match Stencil	native-*-{light,dark}-{chrome,safari}.png	VERIFIED
2026-08-29T14:20:00Z	implement	native PInputText/PLabel/PTextarea are bare input/label/textarea	label is sibling with for; required mark inside label	field-css.ts PInputText PLabel PTextarea	VERIFIED unit
2026-08-29T14:20:00Z	implement	Chrome+Safari VRT native-input-text/native-textarea light and dark	8/8 pass; compact required error/success match	native-input-text-* native-textarea-*	VERIFIED
2026-08-29T14:50:00Z	implement	native PCheckbox/PRadio/PSelect are bare input/select	label sibling with for; p-field/p-radios CSS-only	field-css.ts PCheckbox PRadio PSelect	VERIFIED unit
2026-08-29T14:50:00Z	implement	Chrome+Safari VRT native-checkbox/radio/select light and dark	12/12 pass; check/dot/chevron match Stencil	native-checkbox-* native-radio-* native-select-*	VERIFIED
2026-08-29T15:00:00Z	implement	typed native inputs reuse .p-input with real type	password toggle search clear steppers calendar stay out of the wrapper	PInputTypes.tsx field-css.ts NATIVE_INPUT_TYPES	VERIFIED unit
2026-08-29T15:01:00Z	implement	Chrome+Safari VRT native-input-types light and dark	8/8 pass; date/time values visible; stencil extra chrome stays stencil-only	native-input-types-1000-{light,dark}-{chrome,safari}.png	VERIFIED
2026-08-29T15:12:00Z	implement	fieldIds/useFieldIds wire for, id, aria-describedby	no wrapper; label stays sibling; react/vue useId, angular counter	field-ids.ts useFieldIds.ts fieldIds.ts	VERIFIED unit
2026-08-29T16:00:00Z	implement	parallel ./elements export, . stays CE	consumers opt in; icons bundled; appearance not JSS	package.json exports rollup/ng-packagr	VERIFIED react/vue/js/angular builds + unit
